True_X,True_Y,True_Theta_rad,Est_X,Est_Y,Est_Theta_rad,Cov_XX,Cov_XY,Cov_YX,Cov_YY
4.748329689344543,3.85009764178947,-1.6871166534199291,4.75943660481953,3.847662667139771,-1.6983407185142034,0.008528713213272426,-0.002361565323049521,-0.0023615653230495215,0.00971384150953036
5.726456936245221,3.2218606476317277,-1.072966912398095,5.6100315476241684,3.270518946147104,-1.0794287779630856,0.0077374302051054404,-0.0020446282775924652,-0.0020446282775924657,0.010731977152734242
5.793645577676362,2.390686146688905,-0.6654003116727836,5.912619567624178,2.3744066023286394,-0.6470973947598679,0.007695229231011773,-0.001769182538511409,-0.0017691825385114086,0.010958759770492717
5.8856929443522565,1.6302078310219532,-0.8625708065842694,5.81348463612394,1.7835647675102768,-0.8858671971056297,0.007410496075409239,-0.0013467479928807472,-0.0013467479928807472,0.010990737510562018
6.191916449060177,1.987906680950368,-1.0992472509404103,6.121641290311277,2.1345067758748035,-1.1022263433675037,0.007620919602132196,-0.0016723123033617153,-0.001672312303361715,0.01117958772347429
5.419140437581969,2.707128482399015,-1.72369094292059,5.307711309184185,2.573911311943637,-1.7409823226658818,0.0073842979657259885,-0.001603117333813897,-0.0016031173338138974,0.011178341937904027
5.171114658179233,2.4429616883215326,-1.6617572767942241,5.1856546580016305,2.4433868021669016,-1.655346737767193,0.007805233807533292,-0.0020135400784633065,-0.0020135400784633065,0.01088747614718508
5.1621664600202175,2.206047889977466,-2.2495357089789794,5.114981073072048,2.18397341219713,-2.255694099486881,0.0076884349717898735,-0.0016799550383607422,-0.0016799550383607424,0.01045820268391833
5.102869137809525,2.254075830931078,-1.7090997513291686,5.122400698896862,2.2251058412123563,-1.7188339858187671,0.007728432512203261,-0.0016189452537774779,-0.0016189452537774779,0.010647048028983164
5.984372831408286,2.406628907019721,-1.5395660650844143,5.9122436259375215,2.3486193808357183,-1.5325334938232071,0.007831294630317119,-0.0019051940142722202,-0.00190519401427222,0.010653151648010145
5.866376690318746,3.2663166684227467,-0.9932443522887675,5.924518285568616,3.21355993840046,-0.9719201301607663,0.008063878289680507,-0.002206839558434185,-0.0022068395584341847,0.010430648861409856
6.217124135317567,3.6181614976058105,-1.0689314029895516,6.314152952102815,3.569205841651932,-1.104353809826339,0.007939364206443578,-0.0021681021800634146,-0.002168102180063414,0.010829621498271559
6.224720978169376,3.365457625478977,-0.9792614441599856,6.057401917727155,3.412494275127138,-0.9274316115973791,0.00797839190251744,-0.0022153650805068975,-0.002215365080506898,0.010745467421812744
5.82725172449603,3.8086297313547015,-1.1601906667630715,5.740084128937721,4.035917398391969,-1.159469289816879,0.007911558532106528,-0.0023467949557878717,-0.0023467949557878717,0.01024708571170898
6.696979823926373,2.8434706437295327,-1.4406289047065286,6.709477874231177,2.610677199037106,-1.407882542514188,0.007331472161523784,-0.0017048419925499872,-0.0017048419925499872,0.011334179185506747
6.600763269896431,2.623670433747476,-1.4806315040463551,6.675596930119692,2.4616858838383835,-1.503039407571729,0.007502228181191809,-0.001691809445328621,-0.0016918094453286202,0.01140598348791776
6.611398804016206,2.1597770148524944,-0.8896967634830355,6.677835808109875,2.1629985489113976,-0.8972411367591516,0.007307969636409193,-0.0014804129938496505,-0.0014804129938496503,0.011229047212741905
7.414698610722436,1.1724486130160536,-0.8211515860147873,7.289217142084114,1.2765574950432181,-0.8111586195745948,0.007021000612668547,-0.0010103768252211465,-0.0010103768252211463,0.010306816958761978
6.869774998403659,1.343821693909016,-0.43787511655414435,6.8813684118735345,1.381471617623444,-0.4655293660032316,0.007138496107446741,-0.001099901708234436,-0.0010999017082344363,0.010690059774685418
6.153623249323648,0.947864698758611,-0.24501143451071472,6.19030368708891,0.990564361351191,-0.2541632791906485,0.0070488532355221754,-0.0002815616027284833,-0.0002815616027284831,0.011513501322526265
6.878912266061082,0.34761981466271674,-0.30582206618432395,6.883356609863429,0.3678415451701973,-0.3100396922281335,0.007079383278332836,-2.982968654520287e-05,-2.9829686545202675e-05,0.010076983242097024
5.909239257417507,0.4139873412961901,-0.020250933596895226,5.943490837843838,0.37651079628627243,-0.023890167729794513,0.007094158543196571,-8.285444049425395e-05,-8.285444049425386e-05,0.010865127546058694
5.50437405618076,0.6816967055623249,-0.2723600112973489,5.411271064798545,0.7035079157322407,-0.2767840239544122,0.007112563338539423,-0.0004115864729646625,-0.0004115864729646626,0.011395775365378287
5.020770072262856,0.4016985524844381,-0.5702953675630154,4.934398500624763,0.3501962841412411,-0.5662748676171663,0.007217278008883808,-0.0006388230572313274,-0.0006388230572313273,0.010768712916720305
5.260691315751506,1.3688949390009622,-0.554135722105373,5.342055102930673,1.4439555566626132,-0.5901005310396026,0.007388896370071835,-0.0012213070438369623,-0.0012213070438369623,0.010866211351684007
6.1700312539801505,0.7319577511614721,-0.2863929701087139,6.215888052296927,0.9693891013555869,-0.27283764391775495,0.0072785185843775675,-0.001016770427258392,-0.001016770427258392,0.010817211048340282
6.867781399664572,1.1937776953177264,0.07619576475322476,6.786735933436532,0.9985364326808784,0.051197078279552104,0.00714870050629395,-0.0008290264548144361,-0.0008290264548144361,0.010708411704477904
6.366699785904347,1.3116277772226632,0.45321619000254665,6.485799869083463,1.1642115625809364,0.48113790526011185,0.007176212500796462,-0.0007390378435517877,-0.0007390378435517875,0.011385106932407314
5.511634612779738,0.9379935205645062,0.25442469093092773,5.411871003412818,0.9654290589943894,0.2426960809809734,0.007113260511507456,-0.0008139881592280914,-0.0008139881592280914,0.01082560049490362
4.7582079065723795,0.7818767564369011,0.584366054251259,4.812850135433866,0.7043960796197493,0.5843349091409917,0.00722584558346946,-0.0006665369679659315,-0.0006665369679659315,0.010705711835792574
3.844231900496349,0.6791299674159583,0.1797223030786178,3.683338408181757,0.7710386688942248,0.21067790419248797,0.007153787077551698,-0.0007044939469354518,-0.000704493946935452,0.008701555500576042
4.769714311526317,-0.2630226738538306,0.7673045120863319,4.925335640117203,-0.2535251601805603,0.7917832541174852,0.007219594206788562,0.0002868975891754175,0.0002868975891754174,0.01079527970080887
4.9182807668445605,-1.1697959019513462,0.7308161088823787,5.007790058529223,-1.232387327882433,0.7548860288108038,0.007653010647791157,0.001067041789030159,0.0010670417890301593,0.011242368962513538
4.157412957557897,-1.168451279589306,1.2581820489832243,4.203410322421751,-1.1458320269425466,1.3062116441462726,0.007620082922762269,0.0007174565350588743,0.0007174565350588746,0.009422917856681137
3.8630496427225633,-0.4299413897362152,1.196929507126355,3.9618257454393424,-0.40825777607765046,1.2298144654542342,0.007243356029311283,-3.0285218096476516e-05,-3.0285218096476543e-05,0.009334081794707298
3.1099802326385237,-0.8820183142247557,1.0924254443777994,3.1261175618004966,-0.9821486460942275,1.106421881473852,0.007386408144026078,-5.247070032577822e-05,-5.247070032577807e-05,0.007870302637111325
2.921970058626549,-0.9963452991777408,1.2348015060051805,2.8339904318733384,-1.0030028749196884,1.2164515166095036,0.007341549900273789,-0.0002461529213118626,-0.00024615292131186276,0.007247925398200958
2.9688272147623787,-0.31959173759252657,1.222888778208291,2.9965212552029357,-0.3743262881968991,1.262924382043443,0.007214495788352513,-0.00035275701066353796,-0.0003527570106635379,0.006990209555753354
3.6897707202219157,-0.9631930190622886,0.9035714536747128,3.7392373883771985,-0.8235129620839537,0.8679725707890499,0.007393112194093901,0.00024287851327540162,0.00024287851327540116,0.009010962525946067
4.406500960731018,-0.6935896822155618,1.4784315867972222,4.492851410832971,-0.9030537420967231,1.4535762747460759,0.0074121388748166995,0.0003249397823193176,0.00032493978231931767,0.010374869844206644
4.106098383117958,0.23974854713940696,1.545307563884918,4.155047305675245,0.39343567753932435,1.5728656300754225,0.007110350880222506,-0.0004038123535032912,-0.0004038123535032911,0.009597618188702401
4.382997889362629,-0.43923764430757983,1.8467566545314535,4.40508547544252,-0.5501513833192294,1.8778138200889194,0.0072791804515479775,0.0001407074883078639,0.00014070748830786399,0.010288971766375925
4.492280165507204,-0.7374337249862633,1.9934986249943751,4.643309224455329,-0.8852643844272887,1.966022116722293,0.007489184382341542,0.0007349544711255584,0.0007349544711255583,0.010481031806382055
4.048853033726818,-0.3264228312656714,1.996495385758284,4.014547031126866,-0.35081348341947627,2.010623655398768,0.007221881151661664,4.020781120483205e-05,4.020781120483223e-05,0.009641577552008108
4.47061973734849,-1.081437106326478,1.9172747424114804,4.406846060570875,-1.0301294141118607,1.9431097727453734,0.007517990611409478,0.0006282515190898077,0.000628251519089808,0.009824318088852906
3.9009148473950415,-2.0493396231846415,1.3747847764000898,3.8824465380276116,-2.11393845209676,1.3573286179058819,0.008471670298771132,0.0011326886967371148,0.0011326886967371144,0.00915950624815396
4.101419183634908,-2.376604373907048,0.8821821920763995,4.019107563530706,-2.3625162856528954,0.9145252710758109,0.008851669318305475,0.001522417973844436,0.0015224179738444364,0.009256520961388542
4.503501879794473,-2.516776337823395,1.1101411105400447,4.487142415705035,-2.616734312287706,1.1323798271899308,0.009499405440872173,0.002324815337792386,0.0023248153377923857,0.009879594571215504
4.146166907559088,-2.8051243209544614,1.7135751631211047,4.094454161598511,-2.6619349227656524,1.732989680550622,0.009357005239320097,0.0020141770330342956,0.0020141770330342965,0.009580538855912693
3.349334578564198,-2.975645091148894,1.3778339095210277,3.2457930961229793,-2.998132657110909,1.3781810115356916,0.00987313407534486,0.0014066342754908727,0.0014066342754908729,0.008391725910652629
